DEVICEID,TRAVELID,SJ,LANEID,SPEED,FTNODE
915,6abfc9b0b3eb72122b2cb081d0ce5e08,2019/7/3 9:22,1,46.45284595,5021_5012
915,c92a2329cf7fa0f60b672c483b056e6f,2019/7/3 9:22,1.19E+18,4.167110434,5021_5012
915,b74edda116e3a47b814d77b3673ae894,2019/7/3 9:22,2,34.76663419,5021_5012
915,4fa722bfeff55f338940f58199f35f6f,2019/7/3 9:22,3,22.21875461,5021_5012
915,14594d177005cb6eb4a179c6539b9481,2019/7/3 9:22,1,35.23002908,5021_5012
915,75eba1c3cb2d252498bbe171fd477794,2019/7/3 9:22,3,26.7435719,5021_5012
915,163bd576983ebd767bda63d4f6a97824,2019/7/3 9:22,3,19.94244891,5021_5012
915,b941ba58956d938c54a7024df7449c3c,2019/7/3 9:22,3,42.0776517,5021_5012
915,573c25c94d645600201b9dafc92e8734,2019/7/3 9:22,3,28.55669541,5021_5012
915,0f341bdab3c709af076ce50182012e57,2019/7/3 9:22,2,35.16691742,5021_5012
915,b8e4c6b88a5c42afd519f9dd97ee2c89,2019/7/3 9:22,3,38.33741599,5021_5012
915,a3863e3edac65afb179a2e693aa81f94,2019/7/3 9:22,3,41.07580285,5021_5012
915,48c0dd2c41d931c19dd5b9d14d7cb596,2019/7/3 9:22,3,42.0776517,5021_5012
916,177fa96fd5cc3b6300076dd432e5f5b5,2019/7/3 9:22,3,45.47748751,5021_5012
916,08be38822350856473ea67dc554ed47d,2019/7/3 9:22,4,15.26711256,5021_5012
916,e14ca89c040a6f16c7036058b8a4f329,2019/7/3 9:22,4,24.83272574,5021_5012
916,6eda9ed0c339e1115d2799b10ea1cdc7,2019/7/3 9:22,1,35.24227676,5021_5012
916,aa8a8ce3aaf8a6fe6ace004cd4596831,2019/7/3 9:22,1,35.5523285,5021_5012
916,11e959a5abbb22ba76f339b9b428bd7f,2019/7/3 9:22,3,35.58679634,5021_5012
916,72577e6f4cc8e48f3b2d07d08691d962,2019/7/3 9:22,4,24.47283116,5021_5012
916,163bd576983ebd767bda63d4f6a97824,2019/7/3 9:22,-1,20,5021_5012
916,b941ba58956d938c54a7024df7449c3c,2019/7/3 9:22,4,42.0776517,5021_5012
916,2bbf99c1a6224fae8db3ebfad0bbca2d,2019/7/3 9:22,4,29.87767545,5021_5012
916,f17a5af3ccc1d7b4298a1b1a537fd67c,2019/7/3 9:22,1,8.346537509,5021_5012
916,a3863e3edac65afb179a2e693aa81f94,2019/7/3 9:22,4,41.07580285,5021_5012
915,7e762c21da96eea745efd9e939c9fde2,2019/7/3 9:23,3,39.2087209,5021_5012
915,3bf9dfeab6f2a4b0eee2d25a74dce127,2019/7/3 9:23,3,35.94132749,5021_5012
915,73436625189875ee93c5b2755eab239e,2019/7/3 9:23,1.19E+18,35.39030905,5021_5012
915,026a545bd740a70877e272f7b2e3f061,2019/7/3 9:23,3,14.6836987,5021_5012
915,50e13a208f6f6ea55d7300bacbd98503,2019/7/3 9:23,3,35.16262157,5021_5012
915,805e61b8d5c3c183cb2a09113a70b47e,2019/7/3 9:23,2,30.12747252,5021_5012
915,27219ba09f81b7f940a8c5773cc7e828,2019/7/3 9:23,3,18.47871725,5021_5012
915,0b85f71a187bbcc2ff18d3206498945a,2019/7/3 9:23,1,35.41527074,5021_5012
916,d9bee3feafc26fbae315bccd3b4b2a0d,2019/7/3 9:23,4,44.33802709,5021_5012
916,dfcfa9e44bcd15a86ef61c71fcebfe00,2019/7/3 9:23,-1,20,5021_5012
916,259f45889ea5324df5e9a5e2ca286ba4,2019/7/3 9:23,4,35.1796948,5021_5012
916,6abfc9b0b3eb72122b2cb081d0ce5e08,2019/7/3 9:23,1,46.45284595,5021_5012
916,b74edda116e3a47b814d77b3673ae894,2019/7/3 9:23,2,34.76663419,5021_5012
916,4fa722bfeff55f338940f58199f35f6f,2019/7/3 9:23,4,22.21875461,5021_5012
916,14594d177005cb6eb4a179c6539b9481,2019/7/3 9:23,1,35.23002908,5021_5012
916,75eba1c3cb2d252498bbe171fd477794,2019/7/3 9:23,4,26.7435719,5021_5012
916,573c25c94d645600201b9dafc92e8734,2019/7/3 9:23,4,28.55669541,5021_5012
916,0f341bdab3c709af076ce50182012e57,2019/7/3 9:23,2,35.16691742,5021_5012
916,b8e4c6b88a5c42afd519f9dd97ee2c89,2019/7/3 9:23,4,38.33741599,5021_5012
916,48c0dd2c41d931c19dd5b9d14d7cb596,2019/7/3 9:23,4,42.0776517,5021_5012
915,5a42cb88f701982b13591d8dee854d0c,2019/7/3 9:24,3,45.68644435,5021_5012
915,ac7f87f2950251105617bc2e939f62a8,2019/7/3 9:24,3,48.24643858,5021_5012
915,be57365a9cbf9ed5a8dc8ad69895037c,2019/7/3 9:24,1,35.65869768,5021_5012
915,7bd51b010736ea0d6c1f196128c8bc41,2019/7/3 9:24,3,43.374004,5021_5012
915,8a14f15d9a5b431bc1108eb9e1e0abe9,2019/7/3 9:24,1,30.02771915,5021_5012
915,cf888de313e1de41b550c98a55a73489,2019/7/3 9:24,3,44.41594303,5021_5012
915,477b7e3c0bed74c8c56433da400da2b6,2019/7/3 9:24,1,28.26859635,5021_5012
915,7d18fc3efab802923e70b7fdd530bbeb,2019/7/3 9:24,2,35.33187744,5021_5012
916,7e762c21da96eea745efd9e939c9fde2,2019/7/3 9:24,4,39.2087209,5021_5012
916,609e488c6b12c15a16d400745a53fc50,2019/7/3 9:24,3,17.91619178,5021_5012
916,5a42cb88f701982b13591d8dee854d0c,2019/7/3 9:24,2,45.68644435,5021_5012
916,3bf9dfeab6f2a4b0eee2d25a74dce127,2019/7/3 9:24,4,35.94132749,5021_5012
916,ac7f87f2950251105617bc2e939f62a8,2019/7/3 9:24,4,48.24643858,5021_5012
916,73436625189875ee93c5b2755eab239e,2019/7/3 9:24,3,35.39030905,5021_5012
916,026a545bd740a70877e272f7b2e3f061,2019/7/3 9:24,4,14.6836987,5021_5012
916,8d5eb5c5088da4921aedbd4683b5177d,2019/7/3 9:24,-1,20,5021_5012
916,50e13a208f6f6ea55d7300bacbd98503,2019/7/3 9:24,3,35.16262157,5021_5012
